2,False
6,False
1,False
13,False
10,False
0,False
8,False
3,False
4,False
11,False
7,False
12,False
9,False
5,False
14,True
15
100,False
2
6
1
13
10
0
8
3
4
11
7
12
9
5
14
15
100
